Food Item,Primary Category,Macros per 100g (C / P / F),Valid Preparation,Athletic Benefit
Roasted Goat Meat,Lean Protein,"0.0g Carbs, 25.0g Pro, 16.0g Fat",Roasted,Standard post-match recovery meat providing crucial amino acids.
Stewed Goat Meat,Protein / Fat,"1.0g Carbs, 24.0g Pro, 15.0g Fat",Stewed,Rich recovery meal when served with heavy carbohydrates.
Boiled Chicken Breast,Lean Protein,"0.0g Carbs, 31.0g Pro, 3.6g Fat",Boiled,The gold standard for lean muscle repair with minimal fat interference.
Roasted Chicken Breast,Lean Protein,"0.0g Carbs, 30.0g Pro, 4.0g Fat",Roasted,High-yield protein for daily athletic maintenance.
Stewed Chicken Thigh,Protein / Fat,"0.0g Carbs, 24.0g Pro, 15.0g Fat",Stewed,Higher fat content aids in joint lubrication and hormone production.
Fried Chicken Thigh,Protein / Fat,"4.0g Carbs, 22.0g Pro, 18.0g Fat",Fried,Caloric surplus meal; not recommended immediately post-workout due to slow digestion.
Stewed Tripe (Matumbo),Lean Protein,"0.0g Carbs, 12.0g Pro, 4.0g Fat",Stewed,Budget-friendly protein source containing collagen for tendon health.
Roasted Pork,Protein / Fat,"0.0g Carbs, 27.0g Pro, 14.0g Fat",Roasted,High-calorie protein rich in B-vitamins for energy metabolism.
Stewed Pork,Protein / Fat,"0.0g Carbs, 25.0g Pro, 16.0g Fat",Stewed,"Dense recovery food for high-contact sports (e.g., Rugby)."
Stewed Beef Liver,Protein / Micronutrient,"4.0g Carbs, 26.0g Pro, 4.0g Fat",Stewed,Nature's multivitamin; massive iron and Vitamin B12 dose for red blood cell production.
Roasted Goat Liver,Protein / Micronutrient,"3.0g Carbs, 25.0g Pro, 5.0g Fat",Roasted,Critical for preventing fatigue via high iron and copper levels.
Boiled Tilapia,Lean Protein,"0.0g Carbs, 26.0g Pro, 3.0g Fat",Boiled,Rapidly digesting lean protein for immediate muscle synthesis.
Fried Tilapia,Protein / Fat,"0.0g Carbs, 24.0g Pro, 12.0g Fat",Fried,Higher calorie fish option; good for off-season mass building.
Roasted Nile Perch,Lean Protein,"0.0g Carbs, 25.0g Pro, 2.0g Fat",Roasted,Excellent source of Omega-3s to reduce training-induced inflammation.
Fried Nile Perch,Protein / Fat,"0.0g Carbs, 23.0g Pro, 10.0g Fat",Fried,Caloric surplus protein for heavy lifters.
Raw Small Dried Fish (Dagaa/Indagara),Lean Protein,"0.0g Carbs, 62.0g Pro, 9.0g Fat",Raw,Extremely dense protein per gram; high calcium for bone density in jumping sports.
Stewed Small Dried Fish,Protein / Fat,"1.0g Carbs, 25.0g Pro, 12.0g Fat",Stewed,Rehydrated protein source easily digested alongside heavy carbohydrates.
Stewed Catfish,Protein / Fat,"0.0g Carbs, 18.0g Pro, 14.0g Fat",Stewed,Heavier fat content supports hormone regulation and joint health.
Fried Catfish,Protein / Fat,"2.0g Carbs, 16.0g Pro, 18.0g Fat",Fried,Dense caloric load for extreme energy deficits.
Raw Plain Yogurt,Protein / Carbohydrate,"5.0g Carbs, 4.0g Pro, 3.5g Fat",Raw,Excellent easily-digested pre-workout snack if consumed 1 hour prior.
Boiled Chicken Egg,Protein / Fat,"1.1g Carbs, 13.0g Pro, 11.0g Fat",Boiled,Highest bioavailability of amino acids; perfect morning recovery food.
Fried Chicken Egg,Protein / Fat,"1.0g Carbs, 12.0g Pro, 14.0g Fat",Fried,"Quick protein fix, though added oils slow down amino acid absorption."
Scrambled Chicken Egg,Protein / Fat,"1.5g Carbs, 12.5g Pro, 12.0g Fat",Scrambled,Versatile protein base for mixing with carbohydrates for complete meals.
Raw Avocado,Healthy Fat,"8.5g Carbs, 2.0g Pro, 14.7g Fat",Raw,Monounsaturated fats reduce cardiovascular inflammation; high potassium.
Roasted Peanuts,Fat / Protein,"16.0g Carbs, 26.0g Pro, 49.0g Fat",Roasted,Extremely calorie-dense snack for athletes struggling to maintain weight.
Raw Peanut Butter,Fat / Protein,"20.0g Carbs, 25.0g Pro, 50.0g Fat",Raw,Fastest way to consume high-quality calories and fats during bulk phases.
Roasted Cashew Nuts,Fat / Carbohydrate,"30.0g Carbs, 18.0g Pro, 44.0g Fat",Roasted,Higher carb content than peanuts; good for hiking and endurance fueling.
Roasted Sesame Seeds,Healthy Fat,"23.0g Carbs, 17.0g Pro, 50.0g Fat",Roasted,Massive calcium and magnesium source to protect bones and prevent cramps.
Boiled Collard Greens (Sukuma Wiki),Micronutrient,"4.0g Carbs, 1.5g Pro, 0.4g Fat",Boiled,High Vitamin K for bone metabolism and joint strength.
Sauteed Collard Greens,Micronutrient / Fat,"5.0g Carbs, 1.5g Pro, 4.0g Fat",Sauteed,"Sauteing in oil increases absorption of fat-soluble vitamins (A, D, E, K)."
Boiled Spinach,Micronutrient,"3.8g Carbs, 3.0g Pro, 0.3g Fat",Boiled,Nitrates improve blood flow and oxygen delivery to working muscles.
Sauteed Spinach,Micronutrient / Fat,"4.0g Carbs, 2.5g Pro, 5.0g Fat",Sauteed,Improved iron absorption when cooked lightly with oil.
Boiled Cassava Leaves (Isombe),Micronutrient,"7.0g Carbs, 3.5g Pro, 0.5g Fat",Boiled,Dense fibrous greens that clear the digestive tract and reduce systemic inflammation.
Boiled Pumpkin Leaves,Micronutrient,"6.0g Carbs, 4.0g Pro, 0.2g Fat",Boiled,Rarely discussed high-protein leaf; excellent for immune system support.
Boiled Cabbage,Micronutrient,"6.0g Carbs, 1.3g Pro, 0.1g Fat",Boiled,Cruciferous vegetable that aids in liver detox after heavy supplement use.
Sauteed Cabbage,Micronutrient / Fat,"7.0g Carbs, 1.0g Pro, 3.0g Fat",Sauteed,Calorie-added vegetable side for complete plate balancing.
Raw Carrots,Fast Carbohydrate / Micronutrient,"10.0g Carbs, 0.9g Pro, 0.2g Fat",Raw,Beta-carotene supports central nervous system recovery post-match.
Boiled Carrots,Fast Carbohydrate / Micronutrient,"8.0g Carbs, 0.8g Pro, 0.2g Fat",Boiled,"Boiling breaks down cell walls, making antioxidants highly bioavailable."
Raw Tomatoes,Micronutrient,"3.9g Carbs, 0.9g Pro, 0.2g Fat",Raw,Lycopene acts as a powerful antioxidant to shield against cellular damage.
Raw Ripe Banana,Fast Carbohydrate,"23.0g Carbs, 1.0g Pro, 0.3g Fat",Raw,The ultimate intra-workout or immediate pre-workout fast energy source.
Raw Mango,Fast Carbohydrate,"15.0g Carbs, 0.8g Pro, 0.3g Fat",Raw,Rapid sugar spike for immediate liver glycogen replenishment.
Raw Pineapple,Fast Carbohydrate,"13.0g Carbs, 0.5g Pro, 0.1g Fat",Raw,"Contains Bromelain, an enzyme proven to reduce joint swelling and muscle soreness."
Raw Papaya,Fast Carbohydrate,"11.0g Carbs, 0.5g Pro, 0.1g Fat",Raw,"Contains Papain, which dramatically speeds up protein digestion and absorption."
Raw Watermelon,Hydration,"8.0g Carbs, 0.6g Pro, 0.1g Fat",Raw,Contains L-Citrulline to increase blood flow (pump) and clear lactic acid.
Raw Orange,Fast Carbohydrate,"12.0g Carbs, 0.9g Pro, 0.1g Fat",Raw,Vitamin C regulates cortisol levels to prevent overtraining syndrome.
Raw Passion Fruit,Slow Carbohydrate,"23.0g Carbs, 2.2g Pro, 0.7g Fat",Raw,Extremely high fiber slows sugar absorption; excellent rest-day fruit.
Raw Guava,Slow Carbohydrate,"14.0g Carbs, 2.6g Pro, 1.0g Fat",Raw,Highest protein content of common fruits; massive Vitamin C dose.
Raw Jackfruit,Fast Carbohydrate,"23.0g Carbs, 1.7g Pro, 0.6g Fat",Raw,Dense natural sugars for immediate post-endurance event recovery.
Raw Lemon Juice,Micronutrient,"9.0g Carbs, 0.4g Pro, 0.2g Fat",Raw,"Alkalizes the body post-workout, helping flush out acidic metabolic waste."
Boiled Cocoyam (Amateke),Slow Carbohydrate,"26.0g Carbs, 1.5g Pro, 0.2g Fat",Boiled,"Dense, slow-digesting tuber for deep glycogen storage during off-season."
Roasted Cocoyam (Amateke),Slow Carbohydrate,"29.0g Carbs, 1.8g Pro, 0.3g Fat",Roasted,Concentrated carbohydrate load for endurance athletes.
Boiled Pumpkin (Ibihaza),Fast Carbohydrate / Micronutrient,"12.0g Carbs, 1.0g Pro, 0.1g Fat",Boiled,"Light, easily digestible carb; high in Vitamin A for central nervous system recovery."
Mashed Pumpkin (Ibihaza),Fast Carbohydrate,"11.0g Carbs, 0.9g Pro, 0.2g Fat",Mashed,Extremely fast-absorbing puree for immediate post-game energy spikes.
Mashed Plantain (Agatogo Base),Slow Carbohydrate,"31.0g Carbs, 1.3g Pro, 0.2g Fat",Mashed,Heavy starchy base providing sustained energy for double-session training days.
Boiled Green Beans (Imiteja),Micronutrient / Carb,"7.0g Carbs, 1.8g Pro, 0.1g Fat",Boiled,High-fiber vegetable aiding in digestion and steady blood sugar maintenance.
Sauteed Green Beans (Imiteja),Micronutrient / Fat,"8.0g Carbs, 2.0g Pro, 4.0g Fat",Sauteed,Added healthy oils increase the absorption of fat-soluble vitamins.
Boiled Soybeans (Soya),Protein / Fat,"9.0g Carbs, 16.0g Pro, 9.0g Fat",Boiled,A complete plant protein providing all essential amino acids for muscle hypertrophy.
Roasted Soybeans (Soya),Protein / Fat,"11.0g Carbs, 18.0g Pro, 11.0g Fat",Roasted,"Calorie-dense, portable protein snack for immediate post-training consumption."
Peanut Sauce (Ikinyiga),Fat / Protein,"15.0g Carbs, 12.0g Pro, 25.0g Fat",Stewed,High-calorie lipid sauce that slows the digestion of fast carbs for sustained energy.
Boiled Peas (Amashaza),Slow Carb / Protein,"14.0g Carbs, 5.0g Pro, 0.4g Fat",Boiled,"Light, non-bloating plant protein ideal for active recovery days."
Boiled Eggplant (Intoryi),Micronutrient,"6.0g Carbs, 1.0g Pro, 0.2g Fat",Boiled,"Rich in nasunin, a powerful antioxidant that protects brain cell membranes post-exertion."
Stewed Eggplant (Intoryi),Micronutrient / Fat,"7.0g Carbs, 1.2g Pro, 5.0g Fat",Stewed,Low-impact caloric filler for athletes carefully managing weight classes.
Boiled Cabbage (Amashu),Micronutrient,"6.0g Carbs, 1.3g Pro, 0.1g Fat",Boiled,Cruciferous vegetable that aids in liver detoxification and reduces lactic acid buildup.
Sauteed Cabbage (Amashu),Micronutrient / Fat,"7.0g Carbs, 1.5g Pro, 3.5g Fat",Sauteed,Provides necessary dietary fats alongside deep tissue inflammation reduction.
Raw Carrots (Amakaroti),Fast Carbohydrate / Micronutrient,"10.0g Carbs, 0.9g Pro, 0.2g Fat",Raw,"Crisp, fast-digesting carb; beta-carotene supports vision and nervous system health."
Boiled Carrots (Amakaroti),Fast Carbohydrate / Micronutrient,"8.0g Carbs, 0.8g Pro, 0.2g Fat",Boiled,"Heat breaks down cell walls, making the recovery antioxidants easier to absorb."
Boiled Mushrooms (Ibihumyo),Micronutrient / Protein,"3.0g Carbs, 3.1g Pro, 0.3g Fat",Boiled,Incredible source of B-vitamins for metabolic energy and cellular oxygenation.
Sauteed Mushrooms (Ibihumyo),Micronutrient / Fat,"4.0g Carbs, 3.5g Pro, 4.0g Fat",Sauteed,Enhances immune system function to prevent illness during peak training seasons.
Raw Onion (Igitunguru),Micronutrient,"9.0g Carbs, 1.1g Pro, 0.1g Fat",Raw,"Contains quercetin, which lowers blood pressure and improves athletic endurance."
Raw Garlic (Tungurusumu),Micronutrient,"33.0g Carbs, 6.0g Pro, 0.5g Fat",Raw,Potent vasodilator; opens blood vessels for maximum oxygen delivery to muscles.
Fried Small Fish (Isambaza),Protein / Fat,"0.0g Carbs, 58.0g Pro, 18.0g Fat",Fried,"Lake Kivu staple; massive calcium hit for bone density in jumping athletes (e.g., basketball)."
Stewed Small Fish (Isambaza),Lean Protein,"1.0g Carbs, 55.0g Pro, 10.0g Fat",Stewed,Rapidly digesting lean protein for immediate muscle tissue repair.
Roasted Goat Ribs (Ubavu bw'ihene),Protein / Fat,"0.0g Carbs, 24.0g Pro, 21.0g Fat",Roasted,Heavy caloric and protein load for post-match hypertrophy and joint lubrication.
Stewed Cow Tripe (Inyama z'imbere),Lean Protein,"0.0g Carbs, 12.0g Pro, 4.0g Fat",Stewed,Extremely high in natural collagen to repair tendons and ligaments.
Roasted Beef Liver (Umwijima),Protein / Micronutrient,"4.0g Carbs, 26.0g Pro, 4.0g Fat",Roasted,Nature's multivitamin; massive iron dose to prevent athletic anemia.
Stewed Beef Liver (Umwijima),Protein / Micronutrient,"3.0g Carbs, 24.0g Pro, 5.0g Fat",Stewed,High levels of Vitamin B12 for explosive central nervous system output.
Fresh Banana Juice (Umutobe),Hydration,"22.0g Carbs, 0.5g Pro, 0.1g Fat",Raw,Massive potassium delivery system to instantly halt post-game muscle cramps.
Raw Papaya (Ipapayi),Fast Carbohydrate,"11.0g Carbs, 0.5g Pro, 0.1g Fat",Raw,"Contains the enzyme papain, which helps the stomach break down heavy proteins faster."
Raw Pineapple (Inanasi),Fast Carbohydrate,"13.0g Carbs, 0.5g Pro, 0.1g Fat",Raw,"Contains bromelain, clinically proven to reduce joint swelling after high-impact sports."
Raw Tree Tomato (Ikinyomoro),Fast Carbohydrate / Micronutrient,"8.0g Carbs, 2.0g Pro, 1.0g Fat",Raw,Packed with Vitamins C and E to combat cellular oxidative stress from heavy cardio.
Raw Passion Fruit (Maracuja),Slow Carbohydrate,"23.0g Carbs, 2.2g Pro, 0.7g Fat",Raw,"High fiber content slows sugar absorption, making it a perfect rest-day fruit."
Raw Guava (Ipera),Slow Carbohydrate,"14.0g Carbs, 2.6g Pro, 1.0g Fat",Raw,Highest protein content of common fruits; massive Vitamin C dose for immune health.
Amaranth Grain,Slow Carbohydrate / Protein,"59.2g Carbs, 14.7g Pro, 5.6g Fat",Raw,High-density baseline grain for long-term glycogen storage.
Amaranth Flour,Slow Carbohydrate,"59.6g Carbs, 13.8g Pro, 6.3g Fat",Raw,"Base ingredient for creating high-energy, pre-workout athletic meals."
Savoury Biscuit,Fat / Carbohydrate,"58.9g Carbs, 6.6g Pro, 24.9g Fat",Baked,"High caloric density for mass building, though high fat slows immediate digestion."
Sweet Biscuit,Fast Carbohydrate / Fat,"69.3g Carbs, 6.1g Pro, 17.2g Fat",Baked,Quick energy spike for immediate caloric needs.
Brown Bread,Slow Carbohydrate,"46.9g Carbs, 8.0g Pro, 1.5g Fat",Baked,Moderate-GI carbohydrate for pre-workout fueling 2-3 hours before exercise.
Sweet Bread,Fast Carbohydrate,"50.6g Carbs, 8.3g Pro, 14.4g Fat",Baked,"Rapid post-workout glycogen replenishment, mixed with fats for sustained fullness."
White Bread,Fast Carbohydrate,"48.8g Carbs, 7.7g Pro, 1.9g Fat",Baked,High-GI carbohydrate for rapid glycogen spike immediately post-workout.
Corn Flakes (Fortified),Fast Carbohydrate,"82.6g Carbs, 7.5g Pro, 0.7g Fat",Ready-to-eat,Extremely fast-absorbing carbs for immediate pre-game energy or rapid recovery.
Boiled Spaghetti (Macaroni),Fast Carbohydrate,"31.0g Carbs, 5.8g Pro, 0.9g Fat",Boiled,The global standard for rapid carb-loading the night before a marathon or tournament.
Boiled Rolled Oats,Slow Carbohydrate,"68.0g Carbs, 13.0g Pro, 6.5g Fat",Boiled,Slow-release energy baseline; contains beta-glucan to keep blood sugar stable during long sessions.
Boiled Quinoa,Slow Carb / Protein,"21.0g Carbs, 4.4g Pro, 1.9g Fat",Boiled,"A rare plant-based complete protein, perfect for vegetarian athletes."
Boiled Teff,Slow Carbohydrate,"20.0g Carbs, 3.9g Pro, 0.5g Fat",Boiled,The secret carb weapon of East African marathon runners; extremely high in iron.
Raw Beetroot (Beterave),Fast Carb / Micronutrient,"10.0g Carbs, 1.6g Pro, 0.2g Fat",Raw,Massive natural source of dietary nitrates; expands blood vessels for improved oxygen delivery.
Boiled Beetroot (Beterave),Fast Carb / Micronutrient,"8.0g Carbs, 1.5g Pro, 0.2g Fat",Boiled,Cooked nitrates still improve stamina and lower blood pressure during high-exertion sports.
Raw Ginger (Tangawizi),Micronutrient,"18.0g Carbs, 1.8g Pro, 0.8g Fat",Raw,Clinically proven to significantly reduce delayed onset muscle soreness (DOMS) after heavy lifting.
Raw Turmeric (Icyinzari),Micronutrient,"65.0g Carbs, 8.0g Pro, 10.0g Fat",Raw,"Contains curcumin, one of the most powerful natural anti-inflammatories for joint health."
Raw Moringa Powder,Micronutrient / Protein,"38.0g Carbs, 25.0g Pro, 4.0g Fat",Raw,Dense local superfood packed with amino acids and antioxidants to prevent cellular damage.
Raw Honey (Ubuki),Fast Carbohydrate,"82.0g Carbs, 0.3g Pro, 0.0g Fat",Raw,"Pure, easily digested glucose and fructose for an instant intra-workout energy spike."
Raw Dates (Tende),Fast Carbohydrate,"75.0g Carbs, 2.5g Pro, 0.4g Fat",Raw,Dense potassium and sugar source; perfectly replaces artificial energy gels during long runs.
Raw Sugarcane (Igisheke),Fast Carbohydrate,"27.0g Carbs, 0.0g Pro, 0.0g Fat",Raw,Immediate liver glycogen restoration during half-time or intra-workout phases.
Raw Raisins (Inzabibu zumye),Fast Carbohydrate,"79.0g Carbs, 3.1g Pro, 0.5g Fat",Raw,Dehydrated rapid carbs; excellent for hikers and trail runners needing lightweight fuel.
Raw Coconut Water,Hydration,"4.0g Carbs, 0.7g Pro, 0.2g Fat",Raw,"Nature's Gatorade; packed with electrolytes (potassium, sodium) to prevent cramping."
Raw Coconut Meat (Ingazi),Fat / Carbohydrate,"15.0g Carbs, 3.3g Pro, 33.0g Fat",Raw,Provides Medium Chain Triglycerides (MCTs) which the body burns instantly for energy like a carb.
Raw Chia Seeds,Fat / Protein,"42.0g Carbs, 16.0g Pro, 30.0g Fat",Raw,"Absorbs up to 12x its weight in water, helping athletes stay hyper-hydrated for hours."
Roasted Flax Seeds,Fat / Protein,"29.0g Carbs, 18.0g Pro, 42.0g Fat",Roasted,Massive source of Omega-3 fatty acids to lubricate joints and reduce tendon inflammation.
Roasted Pumpkin Seeds,Fat / Protein,"15.0g Carbs, 30.0g Pro, 49.0g Fat",Roasted,High zinc content directly supports testosterone production and nervous system recovery.
Roasted Sunflower Seeds,Fat / Protein,"20.0g Carbs, 21.0g Pro, 51.0g Fat",Roasted,High in Vitamin E to reduce the oxidative stress caused by intense cardiovascular training.
Roasted Macadamia Nuts,Healthy Fat,"14.0g Carbs, 8.0g Pro, 76.0g Fat",Roasted,Extreme caloric density for athletes who physically cannot eat enough volume to gain mass.
Raw Walnuts,Healthy Fat,"14.0g Carbs, 15.0g Pro, 65.0g Fat",Raw,Brain-supporting fats to aid in focus and reaction time during skill-based sports.
Boiled Mung Beans (Ndengu),Slow Carb / Protein,"20.0g Carbs, 7.0g Pro, 0.4g Fat",Boiled,Easily digestible plant protein; causes less bloating than red beans for pre-game loading.
Stewed Mung Beans (Ndengu),Slow Carb / Protein,"18.0g Carbs, 6.0g Pro, 5.0g Fat",Stewed,Added oils provide a calorie-dense recovery meal with sustained energy release.
Boiled Bambara Groundnuts,Slow Carb / Protein,"20.0g Carbs, 8.0g Pro, 3.0g Fat",Boiled,A complete survival food macro-profile; perfect for ultra-endurance athletes.
Boiled Amaranth Leaves (Dodo),Micronutrient,"4.0g Carbs, 2.5g Pro, 0.3g Fat",Boiled,Extremely high in iron; vital for red blood cell production and preventing fatigue.
Sauteed Amaranth Leaves (Dodo),Micronutrient / Fat,"5.0g Carbs, 2.0g Pro, 4.0g Fat",Sauteed,Fats increase the absorption of fat-soluble vitamins needed for tissue repair.
Raw Bell Pepper (Poivron),Micronutrient,"6.0g Carbs, 1.0g Pro, 0.2g Fat",Raw,More Vitamin C than an orange; crucial for cortisol regulation after heavy lifting.
Boiled Zucchini (Courgette),Micronutrient,"3.1g Carbs, 1.2g Pro, 0.3g Fat",Boiled,Low-calorie filler for plate-balancing during strict weight-cutting phases.
Boiled Broccoli,Micronutrient / Protein,"7.0g Carbs, 2.8g Pro, 0.4g Fat",Boiled,Cruciferous vegetable that aids in estrogen metabolism and liver health.
Ready-to-eat Canned Tuna,Lean Protein,"0.0g Carbs, 28.0g Pro, 1.0g Fat",Ready-to-eat,"The most convenient, high-yield lean protein available for rapid post-workout muscle synthesis."
Ready-to-eat Sardines,Protein / Fat,"0.0g Carbs, 25.0g Pro, 11.0g Fat",Ready-to-eat,Massive Omega-3 and calcium dose from edible bones; perfect for joint and bone strength.
